,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
2097,,LOC,näiteks,Peeter,Sauter,.,Teekond,prantsuse,dekadentide,juurest,ameerika,jazzini,ei
2098,PER,LOC,Kuid,Evelin,loobus,selle,laulmisest,Jaapani,turnee,kasuks,.,Pajusaar,nägi
2099,PER,LOC,esimene,rahvusvaheline,artist,.,Evelini,Jaapani,sõit,jäi,aga,ära,.
2100,,LOC,laulva,revolutsiooni,pidudele,",",et,vene,vägedest,ja,vene,elemendist,Maarjamaal
2101,,LOC,",",et,vene,vägedest,ja,vene,elemendist,Maarjamaal,lahti,saada,?
2102,,LOC,hoovile,?,Mul,pole,midagi,vene,inimeste,vastu,.,Olen,nõus
2103,ORG,LOC,ringi,.,Viimase,võitis,ESS,Ida-Virumaa,.,Sellele,vaatamata,teatati,tänavu
2104,,LOC,AS,Baleni,omanik,Mul,on,Londoni,kaupmeestelt,äsja,ostetud,poole,miljoni
2105,,LOC,Hotel,Mercure'is,pakub,kaks,leheküljetäit,prantsuse,",",ja,ainult,prantsuse,veine
2106,,LOC,leheküljetäit,prantsuse,",",ja,ainult,prantsuse,veine,.,Richemont,Viognier,1996.
2107,,LOC,suunda,:,“,konservatiivne,”,vene,mudel,",",mille,juured,asuvad
2108,,LOC,Küsija,kaob,.,“,Kui,vene,ajal,osteti,riigilt,musta,raha
2109,,LOC,NOOREM,",",OLEKS,MU,ANKUR,VENE,AJAS,.,Aga,nüüd,on
2110,ORG,PER,Nende,hulgas,Pro,Kapital,(,Rüütli,"12,12",A,),",",Eesti
2111,,LOC,teist,korda,",",mil,selle,prantsuse,postimpressionisti,natüürmorte,osteti,sellise,hinna
2112,,LOC,maalikunstis,",",mida,iseloomustas,lähtumine,prantsuse,impressionismi,printsiipidest,.,Pallas,suleti
2113,,LOC,laskuda,eesti,",",poola,",",vene,või,juudi,vaimusängi,",",see
2114,,LOC,poola,",",juudi,kui,ka,vene,keelest,...,See,",",et
2115,,LOC,mõnevõrra,nii,eesti,kui,ka,vene,keelt,",",aga,põhikeel,on
2116,PER,LOC,oma,uut,raamatut,avalike,esinemistega,Londoni,lähistel,.,INDREK,ELLING,London
2117,PER,LOC,",",tuntud,ka,kui,Little,London,",",on,kuulus,oma,vabameelsuse
2118,ORG,LOC,ründasid,islamistidest,äärmuslased,nii,Rushdie,Itaalia,kui,ka,Jaapani,tõlki,","
2119,,LOC,kohta,kirjutatu,laseb,Vadim,Polistšuk,vene,keelde,tõlkida,.,Oma,üheksaruutmeetrises
2120,,LOC,on,halvustav,",",tuleb,öelda,vene,inimene,”,;,kes,siis
2121,PER,LOC,...,tean,küll,!,Katrin,Saks,.,TOOMAS,KIRSS,seriaali,produtsent
2122,,ORG,Eesti,Ekspress,"9,1",Sõnumileht,"3,2",Õhtuleht,"2,7",SULEV,VEDLER,Ühel,kenal
2123,,ORG,asemel,12,krooni,.,Ehk,Postimees,saab,nüüd,täpselt,sama,asja
2124,,ORG,väga,tõsist,tööd,.,Näiteks,Õhtulehe,peatoimetaja,Priit,Hõbemägi,kulutab,iga
2125,,ORG,kaks,päevalehte,ja,ainult,üks,õhtuleht,.,Kahe,tabloidi,ülalpidamiseks,pole
2126,ORG,LOC,aastat,tagasi,lõppes,kohus,EV,Moskva,saadiku,Aadu,Birgi,üle,.
2127,,LOC,poolikut,”,.,Seda,küll,vene,keeles,.,Kahekümnendates,näitsik,takseerib
2128,,LOC,rahvarohke,.,Baariletil,lösutav,turske,vene,rahvusest,sell,jälgib,tähelepanelikult,igat
2129,,LOC,5,),räägivad,vanaemaga,ainult,vene,keeles,.,“,Eks,see
2130,,LOC,ja,nii,kujuneski,koduseks,keeleks,vene,keel,.,“,Minu,vanaema
2131,,LOC,eesti,keelt,.,Siis,läksin,vene,lasteaeda,ja,kooli,ning,eesti
2132,,LOC,Kui,Eesti,Aiake,oli,rohkem,vene,küla,moodi,",",majad,tihedalt
2133,,LOC,",",eelistavad,lapsed,omavahel,suhelda,vene,keeles,.,Irma,hinnangul,on
2134,,LOC,segapered,",",kus,koduseks,keeleks,vene,keel,.,Nugise,pere,on
2135,ORG,PER,selgelt,vastu,.,Lepiksonile,Püha,Jüri,rüü,selga,ja,lohet,tapma
2136,,LOC,temaga,kulgeb,segamini,eesti,",",vene,ja,heebrea,keeles,.,Enamiku
2137,,LOC,”,vabandab,ta,ning,lülitub,vene,keelele,.,Kuulsa,isa,laps
2138,,LOC,Nalja,tegi,seegi,",",et,vene,emigrantide,hulgas,oli,inimesi,","
2139,,LOC,armastus,",",”,kirjutas,anonüümne,Briti,luureohvitser,.,Tsiteeritakse,ka,üht
2140,,LOC,leiti,tema,omandusest,suurel,hulgal,prantsuse,konjakit,ja,likööre,ning,täielik
2141,,LOC,.,Ebausaldusväärne,tüüp,.,”,Briti,iseloomustustekirjutajad,paljastasid,sageli,oma,skeptilist
2142,,LOC,mida,tõenäoliselt,ei,väljastata,.,Londoni,viljastamis-,ja,günekoloogiakeskuse,professor,Ian
2143,,LOC,kogub,kiiresti,populaarsust,ja,seda,prantsuse,ning,saksa,keele,arvelt,","
2144,,LOC,keele,(,"3,3%",),ja,prantsuse,keele,(,"1,9%",),järel
2145,,LOC,taha,kuuldagi,nn,kakskeelsest,“,Kanada,mudelist,”,",",väidavad,hispaania
2146,,LOC,.,REUTERS-BNS,SURMAVAD,TELEMASTID,-,Briti,teadlased,on,tõsiselt,mures,vähkkasvajate
2147,,LOC,The,Sunday,Times,",",London,Briti,juhtiva,epidemioloogi,professor,Gordon,Stewarti
2148,,LOC,galeriis,on,kunstnik,kutsutud,esinema,Londoni,ühe,vanema,ja,prestiižikama,galerii
2149,,LOC,",",nagu,vana,kiri,“,Saksa,rahvale,”,maja,seinal,teatab
2150,ORG,PER,teostajaks,kutsuti,taani,disainer,Per,Arnoldi,ja,mis,mõnelegi,iroonilisele,ajakirjanikule
2151,PER,LOC,solaariumist,töödeldud,egoismile,",",siis,Briti,uus,underground,mahutab,pildile,ka
2152,,LOC,täpselt,see,olema,peaks,?,Euroopa,kultuuri,?,Täpsemalt,paluks,!
2153,,LOC,oli,juhtiv,kliendigrupp,1998.,aastal,vene,turistid,",",siis,vaid,4
2154,,LOC,Helsingis,on,kümme,korda,rohkem,vene,turiste,kui,Tallinnas,",",ütleb
2155,,LOC,lipp,?,Arvatavasti,hollandi,või,vene,nimedega,Eesti,pressi,jaoks,suhteliselt
2156,,LOC,Kristopans,.,Neile,mängivad,vastu,vene,jõud,",",kusjuures,küsimus,on
2157,,LOC,seda,rikkam,on,ühiskond,.,Briti,majandusteadlane,ja,kirjanik,Charles,Handy
2158,,LOC,Alžeeriast,.,Osa,kirju,tuli,prantsuse,keeles,ja,seega,polnud,nendega
2159,,LOC,Suurema,mulje,jätsid,talle,aga,vene,kirikud,",",klooster,ja,piir
2160,PER,LOC,pärast,komisjoni,tagasiastumist,",",rääkimata,USA,“,eksimatusest,ja,ülimuslikkusest,”
2161,,LOC,Migros,ja,Iiri,Superquinn,.,Briti,juhtiv,supermarket,Tesco,Plc,on
2162,,LOC,ROKis,esile,kutsuda,muutusi,.,Lääne,ajakirjanduse,hinnangul,jookseb,norralane,aga
2163,,LOC,ka,korvpalliklubide,koondist,ehk,suurt-Kalevit,Euroopa,Saporta,karikavõistlustel,.,Klubide,koondise
2164,,LOC,inimesed,muuseumides,käivad,?,Pärast,vene,turismi,ärakadumist,tuli,langus,.
2165,,LOC,Esimeses,neist,käsitleb,de,Sivers,prantsuse,müstikut,Simone,Weili,ja,lausub
2166,,LOC,äri-,ja,asjaajamiskeeleks,",",siis,vene,keelest,oli,saanud,korraga,eksootiline
2167,PER,LOC,ütles,Cave,Pärdi,muusika,kohta,Briti,ajalehele,The,Guardian,.,Iga-aastasi
2168,,LOC,korralik,ajalooline,ülevaade,6,radikaalsest,vene,naiskonstruktivistist,(,Ljubov,Popova,","
2169,,LOC,.,HAAG,Gemeentemuseum,Ühe,esimese,prantsuse,abstraktse,ekspressionisti,",",sardoonilise,saksa
2170,,LOC,Alates,Austria,parimatest,ja,lõpetades,prantsuse,tippudega,.,Veinikelder,on,hiiglaslik
2171,,LOC,“,Prantsuse,testament,”,.,Prantsuse,keelest,tõlkinud,Andres,Raudsepp,","
2172,,LOC,1995.,aastal,korraga,kolm,tähtsat,prantsuse,iga-aastast,kirjandusauhinda,.,1987.,aastal
2173,,LOC,Olin,ju,need,raamatud,kirjutanud,prantsuse,keeles,ning,kirjastajad,olid,need
2174,,LOC,venelane,",",kes,hakkas,kirjutama,prantsuse,keeles,”,.,Meeleheitest,aetuna
2175,,LOC,tõlkija,ja,esitanud,käsikirja,tõlkena,vene,keelest,.,Käsikiri,võeti,vastu
2176,,LOC,liialt,subjektiivne,ja,koormav,",",prantsuse,keel,seevastu,on,töövahend,","
2177,,LOC,autor,kirjeldab,oma,minategelase,viibimist,prantsuse,keele,ja,kultuuri,lummuses,","
2178,,LOC,keele,ja,kultuuri,lummuses,",",prantsuse,enda,terminiga,la,francophonie,","
2179,,LOC,tõenäoliselt,on,Makine,ise,",",prantsuse,identiteedi,kujunemist,prantsuse,vanaema,hoole
2180,,LOC,ise,",",prantsuse,identiteedi,kujunemist,prantsuse,vanaema,hoole,all,",",seejärel
2181,,LOC,hoole,all,",",seejärel,tema,vene,ja,nõukogude,identiteedi,kujunemist,ning
2182,,LOC,kujunemist,ning,selle,identiteedi,konflikti,prantsuse,identiteediga,.,Raamat,lõpeb,autori
2183,,LOC,Pariisi,",",kus,ta,oma,prantsuse,vanaemalt,omandatud,prantsuse,keele,ja
2184,,LOC,ta,oma,prantsuse,vanaemalt,omandatud,prantsuse,keele,ja,temalt,kuuldud,meenutuste
2185,,LOC,elu,tegelikult,elanud,.,Oma,prantsuse,identiteedi,taustal,oskab,autor,piiritleda
2186,,LOC,müüte,",",millest,moodustub,tema,vene,identiteet,.,Ühest,identiteedist,teise
2187,,LOC,",",kus,asuvas,Saranzas,elas,prantsuse,vanaema,",",ei,ole,geograafiliselt
2188,,LOC,kõndimas,pruunist,velvetist,pintsakus,habemikku,vene,kirjanikku,.,Uurimus,nõukogude,tsivilisatsioonist
2189,,LOC,.,Uurimus,nõukogude,tsivilisatsioonist,“,Prantsuse,testamendi,”,aineks,on,romaan
2190,,LOC,leiduvad,tekstid,",",mis,kirjeldavad,vene,identiteedi,põhitunnuseid,.,Need,moodustavad
2191,,LOC,tuletab,meelde,teise,Pariisis,elanud,vene,kirjaniku,Andrei,Sinjavski,raamatut,“
2192,,LOC,ja,lõputud,lood,Venemaale,ning,vene,rahvale,osaks,saanud,kannatustest,","
2193,,LOC,.,Seda,motiivi,teravdab,just,prantsuse,vanaema,olemasolu,.,“,Panin
2194,,LOC,olid,kõik,poolakad,mõrvarid,ja,vene,naiste,vägistajad,.,Makini,romaan
2195,,LOC,",",kes,jahtis,õhtuti,Moskvas,vene,tüdrukuid,",",et,neid,vägistada
2196,,LOC,Üheks,oluliseks,motiiviks,romaanis,on,prantsuse,vanaema,vägistamine,Kesk-Aasia,bandiitide,(
2197,,LOC,ime,läbi,pääsemine,.,Minategelase,vene,vanaisa,oli,teatavasti,kohtunik,","
2198,,LOC,ole,Kesk-Aasia,noad,",",millega,prantsuse,vanaema,tappa,üritati,",",“
2199,ORG,LOC,on,töötanud,Vene,naftafirma,Lukoili,Londonis,asuva,ekportfirma,Lukoil,Europe,asedirektorina
2200,,LOC,ütleb,.,Ta,räägib,ka,prantsuse,ja,saksa,keelt,.,Ja
2201,,LOC,päevik,”,on,üks,ropp,prantsuse,homojutt,.,Palusin,Kalevil,oma
2202,,LOC,hädas,restoranide,Gloria,ja,Egoist,vene,roogadele,eestikeelse,nime,leidmisega,.
2203,,LOC,vaja,saada,kas,Gruusia,või,vene,pass,.,“,Nad,tulevad
2204,,LOC,The,Sunday,Times,",",London,Briti,arheoloog,on,avastanud,iidse,maa-ala
2205,,LOC,.,Paraku,on,ka,seekord,vene,poliitikute,seas,näha,kahe,keskme
2206,,LOC,tülitsemine,EÜRP,juhtkonnaga,muutis,kahe,vene,partei,lähenemise,võimatuks,.,Mõningail
2207,,LOC,8.,mail,peeti,ühtlasi,ka,vene,valimisliidu,Rahva,Usaldus,asutamiskoosolek,.
2208,,LOC,valimisliit,Rahva,Usaldus,võib,praegustes,vene,poliitikutes,pettunud,valijates,teatud,huvi
2209,,LOC,”,.,Järgnesid,veel,kaks,prantsuse,klassikut,",",Marcel,Prousti,“
2210,,LOC,tuntusele,vaatamata,ei,kuulu,.,Briti,ajaleht,Daily,Mail,nimetas,uut
2211,,LOC,küll,aga,on,meeldivaks,jutuaineks,Briti,enda,meistrid,",",nagu,Peter
2212,,LOC,natuke,vaadata,uut,arhitektuuri,.,Londonit,on,haaranud,ehitusbuum,.,Mitmed
2213,,LOC,naturaalne,aroom,.,Niisiis,on,prantsuse,“,naturaalveinidel,”,naturaalne,küll
2214,PER,LOC,Stockholmis,",",Hotel,Strandis,.,Stockholm,",",4.,juuni,1999,Miskipärast
2215,,LOC,",",läti,",",saksa,ja,vene,rahvusest,inimesed,",",kes,saavad
2216,,LOC,värvi,jumega,krimpsus,valvur,mind,vene,keeles,üle,lävepaku,.,Väravavaht
2217,PER,LOC,rakendada,.,”,Bill,Gleeson,Briti,retiniidiühingust,",",mis,toetab,selle
2218,,PER,.,Siinmaa,enda,maja,(,Rüütli,1a,),peamiselt,sisseehitatud,mööbel
2219,PER,LOC,.,Võistluspaigaks,oli,tookord,Kiljava,Helsingi,lähedal,.,Eestlasest,treenerit,Oll
2220,,LOC,öelda,",",ühe,väga,hea,prantsuse,konjaki,",",nõnda,hea,","
2221,PER,LOC,ja,väga,hea,inimene,Peeter,Saks,--,ta,on,olnud,suure
2222,PER,LOC,kauge,kodumaa,meloodiatega,.,Aivar,Serbiast,Laevapere,on,alati,ühtne,ja
2223,,LOC,Hard,”,(,Mute,),Briti,trio,Add,N,To,(
2224,,LOC,kõnet,.,Sakslaste,ekspertiis,aga,prantsuse,vati,omadusi,ei,tuvastanud,.
2225,ORG,LOC,kaheksa,.,Seal,olevat,nii,Narva,volikogu,esimees,kui,ka,kohalike
2226,PER,LOC,Nii,näiteks,täitis,rahvastikuminister,Katrin,Saksa,ülesandeid,tema,juunikuise,äraoleku,ajal
2227,PER,LOC,Tallinnas,tööasju,ajamas,.,Õhtul,Võru,poole,sõites,hakkas,põlv,haiget
2228,,LOC,Tallinna,aselinnapea,Sergei,Kulakov,on,vene,pressile,öelnud,",",et,hindab
2229,,LOC,keelt,(,lisaks,inglise,ja,prantsuse,ja,saksa,keelt,),räägib
2230,,LOC,Traditsiooniliselt,loetakse,hullu,hooaja,avaparaadiks,Briti,GPd,juuli,alguses,",",kuid
2231,,LOC,Coulthardi,asemele,.,Uue,hooga,Prantsuse,GP,järel,andis,Damon,Hill
2232,,LOC,küll,juhtunud,on,.,”,Briti,naised,on,ühed,ohvrite,hulgast
2233,,LOC,.,Levadia,töökeel,on,valdavalt,vene,keel,",",kuigi,treener,Sergei
2234,,LOC,probleeme,.,Eri,laadi,“,Vene,ajad,”,pakkusid,neid,ka
2235,,LOC,",",seitsmendaks,aastaks,peab,lahendama,vene,gümnaasiumide,küsimuse,",",möödunud,sajandi
2236,,LOC,",",laenud,brasiilia,bossadest,ja,prantsuse,šansoonidest,",",on,siiski,säilinud
2237,,LOC,ei,lastud,.,Ometi,hakiti,vene,ajal,ka,Tähekese,või,Pioneeri
2238,,LOC,.,“,Justsama,ajas,üks,vene,vanamees,mu,säältpoolt,minema,","
2239,,LOC,Just,selline,nägi,välja,“,Hiiumaa,vanempõlv,”,oma,undrukute,ja
2240,,LOC,kujutavale,suhkrupakile,kirjutatud,sõna,“,Euroopa,”,?,9,),Kui
2241,,LOC,politsei,kriminaalasja,.,“,Need,vene,poisid,on,meil,teada,","
2242,,LOC,vuntside,ja,veel,suuremate,eesmärkidega,vene,valgete,kindral,Nikolai,Judenitš,.
2243,,LOC,pä-rast,.,Ühes,asjas,olid,vene,kuldpagunid,siiski,ühel,nõul,:
2244,ORG,LOC,meie,hilinenud,maandumise,välistas,NATO,Itaalia,õhujõudude,start,Veneetsia,lennuväljalt,Kosovosse
2245,ORG,LOC,et,hilinenud,väljalennu,välistas,NATO,Saksa,õhujõudude,start,Frankfurdi,lennuväljalt,Kosovosse
2246,,LOC,kohalike,kirikuhärrade,positsiooni,hõivas,nüüd,prantsuse,vallutaja,.,Pargi,territooriumil,korraldati
2247,,LOC,suur,vastutus,.,Orlan,",",prantsuse,eksravagantne,kehakunstnik,1.,Eesti,?
2248,,LOC,Oliva,valik,ei,sisaldanud,.,Briti,uuspopi,täht,Gary,Hume,","
2249,,ORG,on,piibel,ja,Maaja,ja,õhtuleht,.,Ehlvest,korjab,lehed,kokku
2250,,ORG,Ja,piiblis,on,Maajat,",",õhtulehes,piiblit,",",kokaraamatut,",",kreeka
2251,,LOC,ja,voolavuse,tõttu,ristis,näiteks,prantsuse,rännumees,Brasseur,de,Bourbourg,sapoteegi
2252,,LOC,isegi,spetsiaalseid,osakondi,.,Kunagi,Vene,aja,lõpus,Shadowplay,nime,all
2253,,LOC,kui,ka,üksikud,inglise,ja,prantsuse,ajalehed,andsid,siis,oma,kaastöötajate
2254,,LOC,32,eestlast,.,Ja,meie,Londoni,saadik,August,Torma,--,minu
2255,,LOC,.,Prantsuse,literatuur,",",eriti,prantsuse,poeesia,.,Meeldib,rohkem,","
2256,,LOC,Prantsusmaal,viibides,on,ka,tema,prantsuse,keele,omandanud,.,Abikaasa,liikuv
2257,,LOC,pigem,on,märke,",",et,prantsuse,poisid,omandavad,eesti,keele,.
2258,,LOC,Kirsipuu,(,pildil,),hüüdnimi,Hollandi,ajakirjanduses,on,“,Kippensoep,”
2259,,LOC,sosistades,ümber,valveputka,.,Räägivad,vene,keeles,",",nagu,suur,osa
2260,,LOC,toob,õnnetu,kaldale,.,Väike,vene,plika,oli,ära,väsinud,ja
2261,,LOC,nurga,tagant,vaatavad,varsti,koguka,vene,naise,veekalkvel,silmad,--,ei
2262,,LOC,pole,piire,räägivad,loomaaiatöötajad,.,Vene,ajal,tülitas,loomaia,töötajaid,kord
2263,,LOC,ees,rullub,lahti,kahe,vana,vene,merekaru,nukker,lugu,.,Mehise
2264,PER,LOC,Adamkusega,.,Seejärel,lendab,Arafat,Soome,.,Kaunases,remonditakse,parajasti,kahte
2265,,ORG,on,tüüpiline,parteitõusik,",",kelle,keskerakond,on,kõrgele,kohale,edutanud,","
2266,ORG,LOC,.,Nii,ei,pea,Norma,Venemaa,turu,tarvis,tegema,eriti,suuri
2267,,LOC,kuigi,palju,raha,tootearendusele,--,vene,autod,on,viimase,paarikümne,aasta
2268,,LOC,läinud,.,Põhiline,tootmisliin,on,Vene,ajast,.,Peale,investeerimispoliitika,on
2269,,ORG,elada,",",”,kommenteerib,noor,Õhtulehe,ajakirjanik,SINISE,maja,fotot,vaadates
2270,PER,LOC,seisukohta,",",”,ütles,Radcliffe,Inglismaa,ajakirjandusele,.,“,Suurbritannia,sportlased
2271,,LOC,a.,Eesti,Merelaevandusele,b,.,vene,ärimees,Abramovitš,;,ile,c
2272,PER,LOC,mida,meile,pakutakse,?,ELHONEN,SAKS,Eesti-juudi,kirjastuse,“,Aviv,”
2273,,LOC,näitas,oma,Ameerika,maastikuvaateid,kuulus,prantsuse,simulatsiooniteoreetik,ja,asjaarmastajast,päevapiltnik,Jean
2274,,LOC,olnud,tal,kerge,minna,õppima,prantsuse,keelt,ja,ajalugu,",",ning
2275,PER,LOC,hea,tuttav,",",aktsiamaakler,Jeff,Londonist,",",on,lausa,hull,õlletehaste
2276,,LOC,riigiametnikke,kosti,peal,hoida,nagu,Vene,ajal,.,Peame,riigi,halduskulusid
2277,,LOC,ära,võtta,--,et,usklikke,vene,naisi,mitte,pahandada,.,“
2278,,LOC,meeste,tasandil,.,Arutati,kuipalju,vene,luure,võis,sellega,seotud,olla
2279,,LOC,efektsele,perekonnale,.,Ta,arvestas,vene,rakettide,edu,ning,pani,seetõttu
2280,PER,ORG,kasutatud,rahulolematuid,Kiviteri,töötajaid,.,Kiviter,on,aga,Ida-Virumaal,üks,suuremaid
2281,,LOC,rea,Jelissejevi,kohtumisi,Eestis,resideeruvate,vene,luuretegelastega,",",”,teatab,eestlasest
2282,,LOC,paljude,inimestega,erinevates,linnades,Peterburist,Londonini,.,Õhtul,Gin,Tonicut,juues
2283,,LOC,väärtuslik,äri,.,Või,olime,Londonis,ja,seal,öeldi,",",et
2284,PER,LOC,minema,pühkida,",",”,arvas,Briti,krüptozooloog,Karl,Shuker,.,“
2285,,LOC,",",nende,hulgas,soome,",",vene,ja,leedu,keelde,.,Sontag
2286,,LOC,”,“,Rääkisin,oma,tõlgiga,prantsuse,keelt,(,Vietnamis,oli,tollal
2287,,LOC,hea,sõbratari,",",Ameerikas,elava,vene,kirjaniku,Tatjana,Tolstaja,",",keda
2288,,LOC,The,Volcano,lover,),anti,vene,keeles,välja,viietuhandelises,tiraažis,.
2289,PER,LOC,põhiline,pillimeeste,kool,.,Elitaarne,Norra,",",demokraatlik,Rootsi,Norras,toimus
2290,PER,LOC,võib,rahumeeli,öelda,",",et,Viljandi,on,neid,kombineerinud,.,On
2291,ORG,LOC,Essential,Selection,Presents,Human,Traffic,London,Antud,topeltplaat,reklaamib,uut,briti
2292,,ORG,ettevalmistamisel,.,Sven,Mikser,",",keskerakonna,poliitiline,sekretär,:,“,Küllo
2293,,ORG,oleks,muidugi,kuulutada,",",et,keskerakond,näib,olevat,ühiskonnaohtlike,märatsejate,punt
2294,,ORG,väärastunud,üldistus,.,Mis,see,keskerakond,siin,süüdi,on,?,Igas
2295,,LOC,.,Tantsijatena,töötavad,tavaliselt,ainult,vene,tüdrukud,.,Eesti,tüdrukud,millegipärast
2296,,LOC,?,Peale,selle,",",et,vene,tüdukud,lähevad,strippariteks,ja,eestlased
2297,,LOC,poisid,on,Tapal,magedamad,kui,vene,poisid,.,Piinlik,lugu,küll
2298,,LOC,Ta,tahab,luua,Eesti,ainsast,vene,õpetajate,koolist,kohaliku,Eesti,keskuse
2299,,LOC,mind,kohalike,arusaam,",",et,vene,õigeusk,on,ainus,võimalus,võidelda
2300,,LOC,",",et,ei,soovinud,toetada,vene,keelt,kõnelevaid,lapsi,.,Paar
2301,,LOC,sisaldab,suuremalt,jaolt,tunnistajate,ülekuulamisprotokolle,vene,keeles,",",osa,neist,on
2302,,LOC,meest,",",kes,kõneles,head,vene,keelt,.,Huvitav,tõik,on
2303,,LOC,kaua,üle,12,-,-13aastast,vene,poissi,",",keda,kahtlustati,sidemetes
2304,,LOC,",",vanuselt,keskealine,",",rääkis,vene,keelt,",",ta,nime,ei
2305,,LOC,teisiti,kui,sakslastesse,.,Oskasime,vene,keelt,ja,ehk,seetõttu,polnudki
2306,,ORG,“,Pikaro,ja,kes,seal,keskerakonnas,on,.,Pikaro,ütles,","
2307,ORG,LOC,.,Campbelli,süüdistuse,järgi,tegid,Briti,ajakirjanikud,suure,numbri,igast,NATO
2308,,LOC,Serbia,armee,hiigelkaotustest,.,Esimese,Briti,ajakirjanikuna,pärast,õhurünnakute,algust,jalgsi
2309,,LOC,“,Asi,võib,osutuda,ka,vene,maffia,kätetööks,",",”,ütles
2310,ORG,LOC,on,Saša,Pepeljaevi,Kineetiline,Teater,Moskvast,.,Pepeljajev,on,lavastanud,ka
2311,,LOC,trupile,Jeremy,James,&,Company,Londonist,.,Viimastel,aastatel,populaarsust,kogunud
2312,,LOC,haaravat,hiigelteost,kasutada,",",kujundab,prantsuse,disainer,Philippe,Starck,spetsiaalse,aluse
2313,,LOC,läbi,teinud,kõmutekitava,uuenduskuuri,.,Londoni,West,Endis,näeb,peagi,rambivalgust
2314,,LOC,ja,kohvi,.,Eesriie,.,Londoni,maksimalist,Tavakohase,Londoni,udu,asemel
2315,,LOC,Eesriie,.,Londoni,maksimalist,Tavakohase,Londoni,udu,asemel,maandume,päikesepaistelises,linnas
2316,,LOC,",",bussid,kahekorruselised,ja,taksod,Londonile,iseloomulikud,.,Tavatu,on,ka
2317,,LOC,.,Marco,Pierre,White,on,Londoni,restoranimaailma,läbi,raputanud,.,Tema
2318,,LOC,",",sealhulgas,ka,suurkeeltes,(,vene,",",hiina,",",inglise,","
2319,,LOC,",",hiina,",",inglise,",",prantsuse,",",saksa,",",hispaania,)
2320,,LOC,BB,oli,1941,Moskvas,andnud,vene,funktsionäär,Apletinile,lubaduse,mitte,midagi
2321,,LOC,Rosenbergide,sidemees,oli,Anatoli,Jakovlev,vene,konsulaadist,ja,et,Wuolijoe,hea
2322,,LOC,millest,saab,aru,alles,teksti,prantsuse,keelde,tagasi,tõlkides,--,niipalju
2323,,PER,“,My,Life,In,The,Bush,Of,Ghosts,”,ilmus,hiljem
2324,,LOC,raiskama,kallist,aega,saksa,",",vene,",",inglise,",",prantsuse,ja
2325,,LOC,",",vene,",",inglise,",",prantsuse,ja,kes,teab,veel,mis
2326,ORG,LOC,Kinnitamata,andmetel,teenis,Ardi,Sillar,Prantsuse,võõrleegionis,aastatel,1991,kuni,1995.
2327,,LOC,.,Varem,oli,neil,olnud,prantsuse,buldog,ning,seetõttu,helistaski,pereema
2328,,LOC,pereema,Agne,Raudmees,inglise,ja,prantsuse,buldogide,ja,mopside,tõuklubisse,","
2329,,LOC,korral,.,Üks,neist,puudutas,prantsuse,buldogi,",",kes,vahetas,kodu
2330,,LOC,laadisime,",",töötasid,meie,lähedal,vene,vangid,.,Korraga,pistsid,kaks
2331,,LOC,http://www.carlsbadnm.com/markle/tlasikbb.htm.,SEADUSLIK,HOMOLAPS,-,Üks,Londoni,kliinik,hakkab,avalikult,pakkuma,“
2332,,LOC,.,Hommikupäikese,poole,jäävad,kaks,prantsuse,rõduga,magamistuba,.,Märkimist,väärivad
2333,,LOC,juures,on,olulised,algprojektid,tehtud,prantsuse,spetsialistide,poolt,;,ehitamist,kontrollivad
2334,,LOC,oli,eksootika,",",luksusese,",",vene,ajal,lausa,ideoloogilist,tähelepanu,vajav
2335,,LOC,Edvard,Munchi,70,tööd,",",vene,sajandi,alguse,kunstniku,Arhip,Kuindži
2336,,LOC,dirigendi,Sakari,Oramo,juhatusel,",",prantsuse,avangardmuusika,suurkuju,Pierre,Boulez,","
2337,,LOC,näevad,välja,kui,tegelased,mõnest,prantsuse,arthouse,filmist,.,Nende,ofice'ist
2338,,LOC,",",et,ta,oskab,laulda,prantsuse,keeles,.,Lugu,ise,on
2339,ORG,LOC,edastanud,selle,paketi,osana,Vaba,Euroopa,eesti,toimetuse,poolt,spetsiaalselt,Vikerraadiole
2340,,LOC,mis,tuli,isegi,rahvaluulest,kirjutada,vene,keeles,",",takerdus,kaitsmine,suurtesse
2341,,LOC,suurusega,korterites,on,kas,moodne,prantsuse,rõdu,",",tavaline,rõdu,või
2342,,LOC,vahepealsed,peavad,leppima,tavalise,või,prantsuse,rõduga,.,Ülemise,korruse,neljatoalisi
2343,,LOC,(,traditsioon,algas,1851.,a,Londonis,Kristallpaleega,ja,näiteks,1889.,a
2344,,LOC,ühe,peategelasena,laulma,ja,mängima,prantsuse,filmi,“,Les,Lecons,te
2345,,LOC,Verdit,maailmalavadel,vastu,võetakse,?,Londoni,publik,on,väga,kriitiline,ja
2346,,LOC,sest,osa,keeli,",",näiteks,prantsuse,keel,",",sulgevad,kõriava,ja
2347,,LOC,“,Mõtisklemas,käiakse,ikka,rohkem,prantsuse,stiilis,pannkoogimajas,Creperie,chez,Grigou's
2348,,LOC,naine,",",kes,pärast,Pariisis,prantsuse,keele,õpetaja,kutse,omandamist,Tartusse
2349,,LOC,kuidas,ta,rääkis,",",kuidas,vene,treenerite,käed,käisid,kiiresti-kiiresti,mööda
