,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
5341,PER,LOC,novembrini,.,Seda,koordineerib,e-lab,Riiast,",",rahvusvaheliselt,tuntuim,aktivistide,ühendus
5342,LOC,ORG,Tubina,“,Kratt,”,esmakordselt,Estonias,lavale,jõudis,",",kestis,selle
5343,,ORG,hiljem,korduvalt,lavastatud,.,Nüüdse,Estonia,lavastuse,libreto,kirjutas,Mai,Murdmaa
5344,LOC,PER,.,Täna,sageli,Künnapu,või,Lapini,põlvkonnaks,tituleeritud,generatsioon,on,olnud
5345,LOC,PER,arhitektuuri,jaoks,on,Künnapul,ja,Lapinil,kirjas,nende,värskelt,publitseeritud,kaunites
5346,,ORG,valitud,parlament,.,V,.,K,.,:,Tuleb,mõista,ja
5347,,ORG,.,Seis,on,absurdne,.,K,.,V,.,:,Keskkonna
5348,,ORG,linna,stiihiliselt,suunavaid,majandusprotsesse,?,K,.,V,.,:,Kuna
5349,,ORG,ju,teinud,linnaosade,detailplaneeringuid,...,K,.,V,.,:,Tõepoolest
5350,,ORG,piisa,surve,avaldamiseks,valitsusele,?,K,.,V,.,:,Arhitektide
5351,,ORG,Eesti,maast,.,V,.,K,.,:,Arhitektuur,on,aeglane
5352,,ORG,valesid,otsuseid,.,V,.,K,.,:,Sõnum,on,see
5353,,ORG,tegureid,",",nagu,seadusandlus,.,K,.,V,.,:,Ka
5354,,LOC,",",mänedžer,Miguelile,",",et,nõukogude,ajal,pidid,kõik,vaimutöölised,ja
5355,,ORG,),ja,täiesti,mõistustviiv,“,I,Cant,Wait,”,.,Hullumeelsust
5356,,PER,Pärnus,.,Kaasa,teevad,Ema,Anna,Padruneid,Jõhvist,ja,Pärnu,punk-akt
5357,,LOC,",",Ministry,of,Sound,",",London,),ning,kohalikud,vennad,DJd
5358,,LOC,.,Tänavamoe,kuumimaks,nimeks,on,Londoni,duo,Vexed,Generation,",",kes
5359,,LOC,1940,-,1941,ENSV,Rahvakomissaride,Nõukogu,esimees,.,-,Avaldanud,Juhan
5360,,LOC,kohta,kunagi,selgub,.,Igatahes,nõukogude,ametlik,versioon,tema,surma,kohta
5361,,LOC,-,alates,aprillist,1998,Hansapanga,nõukogu,liige,",",-,1995,-
5362,LOC,PER,Tamjärv,teevad,koos,Rocca,al,Mare,erakooli,.,Tiina,Mõis,on
5363,,LOC,.,Tiina,Mõis,on,kooli,nõukogu,esimees,.,Praegu,asub,kooli
5364,LOC,PER,talust,on,toonud,Rocca,al,Mare,koolile,.,Miks,?,Sest
5365,,ORG,selge,!,(,ENE,/,EE,jõuab,sellesama,faktini,küll,alles
5366,PER,LOC,ta,.,Nüüd,helistas,Tarmo,Narva,kriminaalpolitsei,komissarile,.,Peagi,teatas
5367,PER,LOC,enam,temaga,rääkida,ja,soovitas,Narva,sõita,.,Kuna,rahapuudusel,mees
5368,PER,LOC,",",miks,kannatanu,ei,taha,Narva,sõita,",",et,asja,kiiremini
5369,,ORG,siis,räägime,.,”,Katkend,EE,telefonikõnest,väidetavasse,lõbumajja,Viimsis,teisipäeva
5370,ORG,PER,!,”,Valda,Raud,(,Anu,79.,aastane,ema,",",tõlkija
5371,,PER,fotograaf,Muusikus,on,langenud,kahe,Anu,oina,rünnaku,ohvriks,Anu,Raud
5372,,ORG,seega,palju,peavalu,.,Äsja,MMilt,hõbedaga,naasnud,judokas,Indrek,Pertelsonile
5373,,LOC,.,See,tuli,hästi,välja,Atlanta,olümpiamängudel,",",kus,hämmastavalt,paljudel
5374,,ORG,jäänuks,kroone,üle,.,Kui,maksuameti,peadirektor,Aivar,Sõerd,suvel,ESSi
5375,LOC,ORG,:,korra,Toompeal,ja,korra,Kadriorus,.,Tenniseliidu,president,.,Pani
5376,,LOC,ja,eriti,tähtsad,otsused,nagu,nõukogu,liikmele,kohane,.,Kui,varem
5377,,ORG,vabalt,müüdaks,",",miljonites,.,Pakterminali,loomine,on,Siffi,kõige,suurem
5378,,LOC,Tema,on,Pakterminali,ja,Trans-Kullo,nõukogude,esimees,.,Luukas,räägib,lihtsalt
5379,LOC,ORG,Mul,puudub,tööalane,vajadus,käia,Pakterminalis,",",aga,mul,on,hea
5380,,LOC,Trans-Kullo,",",Pakterminali,ja,Hansapanga,nõukogu,liige,.,Kaubandus-,ja,Tööstuskoja
5381,,LOC,saab,grupp,",",Siffist,tolle,nõukogu,esimees,.,Võtab,tööle,Torbjörn
5382,,LOC,eri,kohas,.,Üks,oli,London,ja,Fiorina,üks,eredamaid,mälestusi
5383,,ORG,aastal,sai,ta,suurepärase,pakkumise,NBAst,.,Bradley,keeldus,ja,läks
5384,ORG,PER,erinevalt,Al,Gore'ist,pole,Bradleyl,Clintoni,skandaalidega,mingit,pistmist,.,Järgmise
5385,,LOC,kunagi,vastust,ei,tule,.,Briti,GP-l,murdis,Michael,Schumacher,jala
5386,,LOC,6.,",",seis,tasa,.,Euroopa,GP,:,vale,rehvitaktika,","
5387,,LOC,samastama,Marxi,marksismiga,ja,marksismi,Nõukogude,okupatsiooniga,.,Nii,on,saanudki
5388,,LOC,Mercury,&,Montserrat,Caballé,“,Barcelona,”,...,Aga,Tom,Jonesi
5389,,ORG,Divine,Comedy,),",",“,I,',m,left,",",you
5390,,PER,näitlejad,!,Laur,:,“,Unt,on,kummaline,.,Ükskord,tulin
5391,,PER,ta,selja,taga,.,Siis,Unt,keeras,ringi,ja,naeratas,mulle
5392,ORG,PER,nüüd,viga,on,.,Ja,Unt,ütles,:,“,Miks,sa
5393,,PER,.,”,Ulfsak,:,“,Unt,on,huvitav,.,Ma,küsisin
5394,,PER,.,”,Laur,:,“,Unt,on,nagu,mingi,sekti,või
5395,,PER,.,”,Ulfsak,:,“,Unt,on,nagu,zen,master,.
5396,ORG,PER,“,Esimene,lause,",",mis,Unt,meile,ütles,",",oli,:
5397,,PER,.,”,Sauter,:,“,Unt,on,kuulus,selle,poolest,","
5398,,PER,!,”,Ulfsak,:,“,Undi,näitlejatel,on,hea,olla,","
5399,LOC,PER,sellest,hoolimata,",",et,näitlejad,Undist,nõretavas,vaimustuses,on,.,Aga
5400,ORG,PER,Aga,ma,kahtlen,",",kas,Unt,on,.,(,Küll,nüüd
5401,,ORG,selgelt,esitada,",",kel,“,K,ja,K,”,peas,ei
5402,,ORG,",",kel,“,K,ja,K,”,peas,ei,ole,","
5403,,PER,",",väikese,lava,tükk,.,Unt,esitleb,Lutsu,rahvalikku,huumorit,elitaarsemas
5404,LOC,PER,eelkõige,koolipoiste,koerusena,.,Kuid,Undi,lavastajakäsi,paneb,külmal,saunalaval,lõdiseva
5405,ORG,PER,Sel,kombel,juurteni,mineku,eesmärgil,Unt,need,Lutsu,tegelased,saunalavale,ilmselt
5406,,LOC,business,”,on,kuulus,laul,Hollywoodi,juudimuusikalist,.,Aga,ühtlasi,deviis
5407,,LOC,Ellemann-Jenseniga,Narva,tehast,",",mille,nõukogusse,viimane,ka,kuulub,.,Külalisi
5408,,LOC,muidu,oleks,võinud,kannatada,Tööstuspanga,nõukogus,olnud,Tiit,Vähi,imidž,.
5409,,ORG,ja,kasside,väljaheidetega,.,Eelmises,EEs,koos,koeraga,poseerinud,pr,Saar
5410,,ORG,vabalt,linnas,ringi,sebima,.,I,.,T,.,R,.
5411,,ORG,kohatute,teravmeelsuste,pärast,ja,tänan,EEd,eelmisest,kirjast,osa,avaldamata,jätmise
5412,LOC,PER,siiski,igati,mõõtes,kübe,hr,Meri,välisraadiojaamade,segiajamise,ja,vist,piimaraamatuga
5413,,LOC,paar,sõna,pealkirja,seletuseks,.,Balti,aadel,",",kelle,suurimaks,mureks
5414,PER,LOC,sakslaste,ägeda,ja,dramaatilise,valimisheitluse,Pärnu,linnavolikogu,valimistel,ja,sellele,eelnenud
5415,PER,LOC,valimisteni,18.,detsembril,1913,kiitis,Pärnu,volikogu,“,ühehäälselt,”,heaks
5416,,LOC,ajakirjanik,Tapver,korra,Avaliku,Sõna,Nõukogusse,ja,kaks,korda,kohtusse,kaevatud
5417,,LOC,Kaasik,andis,asja,Avaliku,Sõna,Nõukogusse,ja,seal,langetati,Eesti,Ekspressi
5418,,ORG,tauniv,otsus,.,Kui,mõni,Ekspressi,ajakirjanik,nüüd,Kaasikuga,räägib,","
5419,,ORG,Kohalikud,raamatupoed,Online.ee,Raamatukoi,.,ee,243,EEK,256,EEK,251
5420,,ORG,luulet,ning,jutte,.,Tänavu,Estonia,huku,viiendal,aastapäeval,ilmus,talt
5421,,ORG,väljaantud,“,Poeem,laevast,“,Estonia,”,”,.,“,Alustasin
5422,,LOC,",",on,lahinguväljalt,kadumas,.,Briti,teadlased,on,avastanud,mooduse,","
5423,PER,LOC,.,Venelased,lubasid,Pu,Yi,Jaapanisse,toimetada,.,Selle,asemel,viidi
5424,,LOC,.,On,teada,",",et,nõukogude,bioloogide,arvates,sobib,see,viirus
5425,,LOC,-,Kuulub,mitme,rahvusvahelise,ettevõtte,nõukokku,",",mitme,rahvusvahelise,komitee,liige
5426,,LOC,Widomski,pooletunnise,jutu,sõnum,?,Nokia,tegi,seitsme,aasta,eest,kriisis
5427,,LOC,haldab,AS,Põlva,Koit,eesotsas,nõukogu,esimehe,Madis,Talgrega,.,Lehe
5428,,LOC,Tallinna,linnajuhid,annavad,kirjaliku,nõusoleku,Nõmmele,suusakeskuse,rajamiseks,.,Ta,veenab
5429,,LOC,Ehkki,vene,kunst,pakub,“,Läänele,”,nagunii,suuremat,huvi,ja
5430,,LOC,Kruus,kaebas,kultuurilehe,Avaliku,Sõna,Nõukogusse,.,Kas,kartsite,tookord,oma
5431,,LOC,aga,küll,.,Avaliku,Sõna,Nõukogust,ma,mingisuguse,õigustuse,sain,","
5432,,LOC,Kenderil,ei,olegi,isiklikku,kogemust,nõukogude,sõjaväest,",",mida,ta,kirjeldab
5433,,LOC,ajakirja,Vikerkaar,kunstiline,toimetaja,.,Frankfurdi,rahvusvaheline,raamatumess,toimus,tänavu,13.
5434,PER,ORG,aastal,Tonga,kuningas,George,Tupou,I,palja,ülakehaga,ringikäimise,nii,meestel
5435,,LOC,",",”,ütles,ta,.,Nõmmel,Kandle,tänavas,asuv,maja,on
5436,,LOC,isa,viha,.,Avaliku,Sõna,Nõukogu,otsus,28.04.99,.,a.,Mihkel
5437,,LOC,kaebus,ja,järgnenud,Avaliku,Sõna,Nõukogu,tauniv,otsus,Eesti,Ekspressile,(
5438,PER,ORG,ja,tasuta,jagatavat,tarkvarasüsteemi,Linuxit,Ferrariga,.,“,Loll,on,see
5439,ORG,PER,Wam,&,Son,hotelli,Wam,Maria,hinnaga,"3,9",miljonit,krooni,.
5440,ORG,PER,”,ALG,Liisingule,pole,Wam,Maria,ainukene,kaotatud,objekt,.,Analoogne
5441,ORG,LOC,Plazasse,kutsunud,kokku,terve,Postimehe,Tallinna,toimetuse,",",et,teavitada,eesootavatest
5442,,ORG,T. H. Liiv,“,Depressiooni,anatoomia,”,EE,nr,15,ja,“,Kuidas
5443,,ORG,Kuidas,Igor,ära,väsis,”,EE,nr,34,),.,TIINA
5444,,ORG,globaalsetest,sündmustest,.,“,Miks,TV,3,jõudis,märtsis,Kosovo,piirile
5445,,ORG,põhjendab,Kuusk,töökoha,vahetust,.,TV,3s,olid,Andres,Kuuse,tööpäevad
5446,,LOC,ei,sobi,üldse,istuda,riigiettevõtete,nõukogus,.,Lass,oli,tol,hetkel
5447,,LOC,--,kes,siis,veel,peaks,nõukogudes,istuma,kui,mitte,riigiametnikud,.
5448,,LOC,kuulsate,ärikoolide,INSEAD,ja,IMD,nõukogu,liige,.,Selle,aasta,septembris
5449,,LOC,räägib,mobiilside,kahjuks,.,Uus,Nokia,Card,Phone,2.0,laiendab,oluliselt
5450,PER,LOC,poolt,algatatud,ambitsioonika,programmi,Cyber,Korea,21,selgroogu,.,“,Võrreldes
5451,PER,LOC,on,infoühiskonnale,alged,rajava,Cyber,Korea,21,võtmeelemendiks,.,”,Cyber
5452,PER,LOC,21,võtmeelemendiks,.,”,Cyber,Korea,21,raames,rajatakse,125,miljardit
5453,,LOC,ja,autovõidusõitja,Arnis,Škesteris,.,Taani,vormel-3000,äss,Jason,Watt,jääb
5454,,LOC,Asta,Põldmäe,kirjeldab,novellis,“,Viini,plika,”,oma,äärmiselt,peenendunud
5455,,LOC,",",veinimanustaja,seevastu,kõrge,Ühinenud,Euroopa,kultuuri,kuulutaja,.,Ometigi,on
5456,,PER,oli,",",ja,ängistas,.,Nüganenil,midagi,sellist,ei,ole,.
5457,,ORG,“,No-one,knows,the,trouble,I,',ve,seen,!,”
5458,,LOC,Stardust,And,The,Spiders,From,Mars,",",1972,See,plaat,lõpetas
5459,,ORG,Survive,”,",",“,If,I,',m,Dreaming,My,Life
5460,,LOC,riie,ei,riku,meest,.,London,on,viimased,25,aastat,dikteerinud
5461,,LOC,kui,esteet,.,HARRY,LIIVRAND,Briti,moe-,ja,disainipäevade,raames,üles
5462,,PER,miljonit,krooni,maksma,läinud,kodu,Kaarli,tänaval,.,Mõisal,on,plaan
5463,ORG,LOC,juhatuse,",",Avatud,Eesti,Fondi,Nõukogu,",",Presidendi,Akadeemilise,Nõukogu,ja
5464,ORG,LOC,Fondi,Nõukogu,",",Presidendi,Akadeemilise,Nõukogu,ja,välismaiste,teadusseltside,liige,.
5465,,ORG,ilmus,müügile,konjak,Made,in,Estonia,",",selle,saamiseks,segati,kokku
5466,,PER,väljade,veel,kodutee,Käbinite,ja,Martinite,suguvõsa,kaudu,kakssada,aastat,tagasi
5467,,LOC,mina,",",kes,ma,olin,nõukogude,korra,tõttu,pidanud,oma,küllaltki
5468,,LOC,Uurinud,Harju,rajooni,põllumajanduse,arengulugu,nõukogude,perioodil,",",kirjutanud,sellest,üle
5469,,PER,pähe,panna,kiiver,.,Sekretär,Anna,pakub,ka,kaitsejopesid,.,“
5470,ORG,LOC,nädala,tagant,paigutatakse,Riikliku,Transpordiohutuse,Nõukogu,(,National,Transportation,Safety,Board
5471,,LOC,pardal,oli,rohkem,kui,20,Egiptuse,sõjaväeohvitseri,;,mõned,neist,olid
5472,,LOC,esimese,Asterixi,koomiksi,lugemine,teda,nõukogude,elule,hoopis,teise,pilguga,vaatama
5473,,LOC,palgamõrvar,jättis,endast,maha,laipaderea,Londoni,katustele,.,Ta,oli,nii
5474,,LOC,luureteenistuse,peakorteri,Thames,House'i,ümber,Londoni,kesklinnas,.,Esimene,lind,laskis
5475,,LOC,umbes,8500,krooni,päevas,.,Londoni,kahjuritõrjujad,leiavad,",",et,röövlinnu
5476,,LOC,lugu,on,Dylani,lugu,.,NÕMMEL,NÄITAS,mulle,Sova,kaht,maja
5477,ORG,LOC,töötav,DJ,Jurgen,legendaarsest,Jazzanova-triost,Münchenist,.,Lisaks,temale,astuvad,“
5478,ORG,LOC,Wunderbaum,Kopenhaagenist,",",Rhythm,Doctor,Londonist,ja,DJ,Raul,Saaremets,Tallinnast
5479,ORG,LOC,Urban,Tribe,ja,Jo,Hope,Helsingist,",",DJ,Pierre,Budapestist,","
5480,,LOC,meelde,Kantšeli,varasemat,konjunkturistlikku,loomingut,nõukogude,filmimuusika,kirjutajana,",",mis,aga
5481,PER,LOC,koostööst,natsivõimudega,",",lahkus,Dietrich,Hollywoodi,",",kus,tegi,pärast,II
5482,,ORG,Eesti,Kontsert,",",5.,november,Vanemuine,",",6.,november,Eesti,Kontserdis
5483,,ORG,Morrissey,vastas,lihtsalt,:,“,I,am,.,That's,why,I
5484,,ORG,I,am,.,That's,why,I,',m,here,",",”
5485,,ORG,”,või,“,Vauxhall,and,I,”,vms,pealt,ja,actually
5486,,ORG,ainus,lisalugu,“,Last,Night,I,Dreamt,That,Somebody,Loved,Me
5487,,LOC,Kunstihoones,kolm,päeva,hiljem,avatud,Briti,moefoto,tegeleb,suuresti,glam-maailma,pealispindsusega
5488,,PER,toorjuustu,kui,ka,leiba,.,Aivari,söömise,muljeid,rääkides,oli,alati
5489,,ORG,),mängisid,The,All,Seeing,I,muusikat,juba,tundmatute,firmade,väljaantuna
5490,PER,LOC,Näiteks,Päevalehest,loen,alati,Johannes,Pirita,kommentaare,.,Väga,huvitavad,sõnad
5491,ORG,LOC,või,mitte,?,Kas,Tallinna,Viru,väljaku,pildistamisel,pildile,jäänud,Osta.ee
5492,,PER,miks,",",aga,heal,Mattsoni,Toomal,on,meie,elust,siin,Narva
5493,,LOC,pruukida,.,Ega,me,mingid,nõukogude,produktid,ole,.,Tegelikult,on
5494,,ORG,MÄNTY,Tõekuulutamisest,dialoogi,poole,?,EE,45,Ilu,",",headus,ja
5495,,ORG,MIKKO,LAGERSPETZ,Õiendus,21.,oktoobri,EEs,ilmunud,artikkel,pealkirjaga,“,ISIC
5496,,ORG,RAUL,JäRG,EÜLi,esimees,Täpsustus,EEs,nr,44,oli,kaksipidi,mõistetav
5497,,ORG,mõistetav,avaldus,lk,A,16.,EE,ei,väida,",",et,allilmategelane
5498,,ORG,tapeti,Koit,Pikaro,poolt,.,EE,oletab,",",et,Satšuki,tapmise
5499,,ORG,Satšuki,tapmise,põhjusi,võib,otsida,EEs,avaldatud,Pikaro,väitest,",",et
5500,,ORG,need,on,kultuuriteoorias,kõik,puha,esil,ja,elementaarseiks,vaieldud,.,Sest
5501,,LOC,Rahvapanka,",",vastavalt,siis,panga,nõukogusse,ja,seifi,.,“,Tänu
5502,,ORG,olid,ühe,omanikuga,.,Kuigi,maksuameti,nõue,oli,vaieldav,",",tunnistas
5503,,LOC,ja,oskused,.,Tallinna,Farmaatsiatehase,nõukogu,nimetas,Borclova,juhatuse,esimeheks,juba
5504,,ORG,Kaheksa,aastat,pärast,Eesti,NSV,KGB,likvideerimist,on,endised,riikliku,julgeolekukomitee
5505,,ORG,saanud,Valeri,Konovalov,oli,ENSV,KGB,vanemoperatiivvolinik,1979,-,-1991,ja
5506,,ORG,on,tähelepanuta,jäänud,Eesti,NSV,KGB,1.,(,välisluure,),osakonna
5507,LOC,ORG,",",et,on,üldse,kunagi,KGBs,töötanud,ja,nentis,",",et
5508,ORG,LOC,nimekirjas,.,Tomilov,töötas,KGB,Narva,osakonnas,majandusalal,1984,-,-
5509,,LOC,uurija,Charlie,Nordblom,tõi,oma,nõukogude,luure,tegevusest,Rootsis,jutustavas,raamatus
5510,,LOC,",",aga,ma,ei,olnud,nõukoguga,sellest,veel,rääkinud,.,Mida
5511,,LOC,ei,lahkuks,firmast,",",pakkus,nõukogu,mulle,väga,soodsatel,tingimustel,jätkamist
5512,,LOC,siis,",",kui,sa,tulid,nõukogu,koosolekult,välja,teadmisega,",",et
5513,,LOC,jaoks,.,“,Võtame,kasvõi,Balti,jaama,tunneli,.,Kas,sina
5514,LOC,PER,seinte,kaunistamisega,terve,brigaad,väikesi,Lapineid,",",Malevitšeid,ja,El,Lissitzkysid
5515,,LOC,ja,seksuaalne,küündimatus,),20.00,Rooma,šerif,(,Jõuluetenduses,neitsi,Maarjat
5516,,LOC,kodulinn,on,siiski,vana,hea,London,.,“,Tänapäeva,maailmas,ei
5517,,LOC,läbi,pressi,avalikkuse,ette,.,Briti,sõidukiinspektsiooni,(,Vehicle,Inspectorate,)
5518,,ORG,fännklubi,liikmetega,kohupiimapidu,.,Kairil,MMil,võimsad,šansid,Esimene,sportlik,edu
5519,,LOC,unustada,?,”,kurjustas,Peterburis,Balti,vaksalist,võetud,takso,šovinistlikult,meelestatud
5520,PER,LOC,alternatiivsed,linnanoored,ühepäevase,kultuurifestivali,Mitteametlik,Moskva,",",Neofitsialnaja,Moskva,.,Moskvas
5521,,LOC,juuditarist,õpetajanna,ei,nostalgitse,muidugi,nõukogude,korra,järele,",",kuid,tema
5522,,LOC,Stalini,portreega,.,Must,mees,Londonist,osutas,Stalinile,ja,küsis,","
5523,,ORG,siiski,ka,vabu,kombeid,.,Kremli,müüri,ääres,",",otse,vahisõduri
5524,,LOC,tähendanud,enam-vähem,sama,mis,“,nõukogude,”,ning,“,venelase,”
5525,,LOC,ta,on,igand,.,Mälestused,Vene,ajast,mütologiseeruvad,ja,vaba,Eesti
5526,,LOC,leia,",",kuid,näiteks,vanade,nõukogude,filmide,suur,osakaal,eratelekanalite,repertuaaris
5527,ORG,LOC,olemasolust,;,koostöös,Eesti,Suursaatkonnaga,Prahas,tutvustati,huvilistele,Eesti,Vabariiki,.
5528,,LOC,lõdvestav,olukord,.,Kaasaegse,kunsti,Balti,biennaali,mängureeglid,pärinevad,“,idakatelt
5529,,LOC,",",et,iseseisvus,",",vabadus,nõukogude,võimust,pole,Venemaale,veel,jõudnud
5530,,PER,kava,sama,mis,Dovlatovil,:,Mõisa,ajalugu,.,Poeedi,teine,pagendus
5531,,ORG,Kaks,nädalat,pärast,kirjatöö,ilmumist,EEs,",",milles,kirjeldati,politsei,novaatorlikke
5532,,LOC,arvab,sest,loost,Avaliku,Sõna,Nõukogu,?,LEONHARD,LAPIN,Märkus,Eesti
5533,,ORG,.,TARMO,VAHTER,Maitse,asi,EE,46,Fotod,igavast,riigist,Tarmo
5534,,LOC,uudis,:,lahkuminek,vm,.,Briti,naiste,keskmine,sünnitamise,iga,olevat
5535,,LOC,on,endine,meremees,",",töötanud,nõukogude,ajal,kolm,aastat,Angoolas,sadamate
5536,LOC,PER,:,Undvat,",",Veere,ja,Tamme,sadamat,.,Tegelikult,käsitles,uuring
5537,,LOC,Kasvas,üles,lastekodus,.,Leedus,nõukogude,armees,olles,tutvus,eestlastega,","
5538,ORG,LOC,30 000,krooni,.,”,Statoil,Eesti,peadirektor,EPP,KIVIAED,(,38
5539,LOC,ORG,.,Kasepuid,ostab,ta,kotikaupa,Statoilist,või,toob,ema,juurest,Tartust
5540,,ORG,Kümmekonna,elaniku,hulgas,on,endine,Hoiupanga,jurist,Marcel,Vichmann,ja,turvaärimees
5541,PER,LOC,Tartu,ülikooli,professor,Tõnu,Oja,Hollandi,keskse,ajalehe,Het,Parool,Eesti
5542,,LOC,märganud,.,Paljassaare,Kalatööstuse,esindaja,Balti,riikides,Jaan,Lahtvee,:,Lätis
5543,,PER,on,tuletis,kahest,nimest,.,Anna,tähendab,vanaegiptuse,keeles,igavikku,ja
5544,,LOC,1937,sai,Loorits,ametliku,kutse,Balti,ajaloolaste,kongressile,Riiga,ning,kutsed
5545,LOC,ORG,selleks,sai,16.,augustil,1937,Päevalehes,ilmunud,artikkel,",",mille,all
5546,,ORG,maksuameti,direktori,Tiit,Hallikmaga,Kuidas,maksuamet,petturini,jõuab,",",kui,ta
5547,,ORG,ennast,pärast,äriregistris,registreerimist,ka,maksuametis,käibemaksukohuslasena,arvele,võtma,.,Kui
5548,,ORG,tekib,",",siis,järgneb,tavapärane,maksuameti,töö,",",rutiinne,kontroll,.
5549,PER,ORG,.,Need,on,näiteks,Peeter,I,",",Aleksander,Nevski,",",Ivan
5550,PER,LOC,",",Aleksander,Nevski,",",Ivan,Groznõi,ja,Puškin,.,Alati,mõjub
5551,,LOC,Sunday,Times,",",London,Neljast,Briti,insenerist,",",kellel,möödunud,aastal
5552,PER,LOC,",",kui,nad,paigaldasid,mobiiltelefonisüsteemi,Briti,kompanii,Granger,Telecom,teenistuses,.
5553,PER,LOC,november,.,Primalco,viinatehas,Rajamäkil,Helsingi,lähedal,.,Häkkinen,saabub,abikaasa
5554,,LOC,korda,Soome,meistriks,.,-,Briti,vormel-3,sarjas,olid,Häkkinen,ja
5555,PER,LOC,Vaikmaa,-,Meditsiiniõde,--,Mare,Jõgeva,-,Meditsiinivend,--,Mart,Madiste
5556,,ORG,Raimo,Kangro,Kaastegev,Rahvusooper,“,Estonia,”,sümfooniaorkester,ja,ooperikoor,.
5557,,LOC,",",loodavad,korraldajad,ühtlasi,taaselustada,nõukogude,aja,lõpul,hääbunud,traditsiooni,just
5558,,ORG,bändi,J,.,M,.,K,.,E,.,kõrval,Psychoterrorit
5559,,LOC,Meri,",",kuid,asi,takerdus,nõukogude,kultuuriametnike,vastuseisu,tõttu,.,Tänavusuvisel
5560,,ORG,Prauheimi,must,komöödia,“,Can,I,be,your,Bratwurst,",",please
5561,,ORG,faktuuriga,(,“,Analüüs,”,I,",",II,),.,Paradoksaalselt
5562,,LOC,protesti,vormina,.,Juunis,organiseeriti,Londoni,finantsregioonis,tänavareiv,protestiks,selle,vastu
5563,,LOC,Juta,Ild,.,Maailmaesietendus,20.11.1999,Pärnu,Endlas,.,Heinalised,täidavad,küüni
5564,PER,ORG,päris,hea,.,JABOULET-VERCHERRE,',I,oma,on,karakterilt,kergem,ja
5565,,LOC,too,teine,Frankie,Goes,To,Hollywoodi,LP,",",mida,keegi,ei
5566,,ORG,sellistes,lauludes,nagu,“,Everyone,I,Know,Is,Falling,Apart,”
5567,,ORG,linna,klubides,Hacienda,ja,Planet,K,.,Muusika,produtsendina,on,ta
5568,,ORG,mis,peaks,tulevikus,rahustama,Eesti,tv,naissaatejuhte,ja,meid,kõiki,","
5569,,ORG,raske,tõestada,--,tuleks,minna,maksuametisse,ja,hakata,seal,vanades,paberites
5570,,ORG,kogutud,käibemaksu,hoidmise,süsteem,.,EE,andmetel,seisis,kogu,raha,tollis
5571,,LOC,oma,tulusid,.,Laupäeva,õhtu,Balti,jaamas,.,Kottpimeda,elektrirongide,ootesaali
5572,,LOC,et,kõik,on,korras,.,Vene,ajast,pärinevad,normid,olevat,lihtsalt
5573,,LOC,akna,vahel,ja,lk,A 53,Nokia,mobiiltelefoni,sisemuses,.,Parimad,pommileidjad
5574,,ORG,ei,müü,.,RAIT,KILLANDI,TV1,tegevdirektor,Edasi,läheb,kõik,ainult
5575,,ORG,kommenteerida,...,mina,ise,seda,TV1,eriti,ei,vaatagi,.,Ega
5576,,LOC,peahoone,21.,korrusel,ütles,panga,nõukogu,liige,ja,laevafirma,Hansatee,boss
5577,,LOC,filiaali,ja,viib,oma,aktsiad,Londoni,börsile,.,Mullid,",",nagu
5578,,LOC,nädalat,ka,Hanschmidt,ja,panga,nõukogu,esimees,Aare,Urm,.,Ikka
5579,,LOC,ta,minema,Urmi,ehk,panga,nõukogu,esimehe,kohale,.,Ühispanga,presidendiks
5580,,LOC,tõenäoliselt,juba,järgmisel,nädalal,peetaval,nõukogu,koosolekul,.,Rootslased,on,saanud
5581,,LOC,täiesti,loomulik,",",et,panga,nõukogu,esimehe,koht,oleks,nende,käes
5582,,LOC,Ühispanga,internetiküljelt,www.eyp.ee/est/text/struktuur.html.,Aare,Urm,Nõukogu,esimees,.,Kabinet,20.,korrusel
5583,,LOC,oli,enne,ühinemist,Tallinna,Panga,nõukogu,esimees,ja,suuraktsionär,.,Kuna
5584,,PER,Seal,olid,fotoseeriad,“,Ave,Maria,”,I,ja,II,.
5585,,ORG,fotoseeriad,“,Ave,Maria,”,I,ja,II,.,Et,Kaisa
5586,,LOC,Tänavune,põhihooaeg,koosnes,17,sõidust,Briti,radadel,ning,igale,osalejale,läks
5587,,PER,pärast,pandud,.,”,Vastastest,Indrek,suurt,muud,ei,teadnud,","
5588,,LOC,",",”,ütles,ta,.,Briti,teadlased,on,skeptilised,.,“
5589,,LOC,olid,Birini,mõisas,õõnsakõlalised,.,Balti,regiooni,tegevdirektor,Bo,Kruse,:
5590,,LOC,esindajate,neljaliikmeline,komisjon,soovitas,EEA,nõukogul,valida,Eesti,Raudtee,erastamise,nõustajaks
5591,,LOC,Tartu,linnas,.,VÕIDUSÕIT,-,Briti,suurim,väljaveoartikkel,ei,ole,enam
5592,ORG,LOC,välja,jõuda,.,AS,Statoil,Eesti,peadirektor,Epp,Kiviaed,:,Mul
5593,,PER,ühendab,taevast,ja,maad,.,Tamm,",",mida,peeti,Zeusi,pühaks
5594,,ORG,kuidas,võistlus,kulgeb,.,Sevilla,MMi,ajal,läks,ta,kord,üksi
